,FORMULA,T (K),Cp (J/molK)
231,Br3Zr1,400.0,102.508
1946,I2Pb1,700.0,88.743
634,Al1F6Li3,700.0,274.052
2745,Cu2O5S1,900.0,207.526
4451,Sr1,700.0,30.864
4331,O4Si1Zr1,2400.0,150.624
1775,Be3N2,500.0,97.512
1926,Fe1S1,411.0,95.051
2604,Mo1S2,1300.0,80.835
1411,Br2Fe1,1200.0,100.307
1918,Fe1S1,1000.0,58.986
1494,Fe0.947O1,300.0,48.183
2765,K2O2,600.0,120.708
3376,Ca1Cl2,1800.0,109.202
2692,Na2O3Si1,1200.0,177.54
2711,Mg1S1,2900.0,59.789
3852,N4Si3,2400.0,186.734
4071,O1Sr1,1800.0,61.881
2952,N1V1,1000.0,53.668
1683,Cu1O4S1,600.0,136.315
873,C1Be2,400.0,47.614
2434,Al1Na1O2,500.0,89.56299999999999
851,C1Be2,2500.0,92.153
3446,O5V2,1400.0,195.393
1178,Fe0.877S1,598.0,68.563
4265,O3V2,2200.0,176.24599999999998
1433,Fe1I2,650.0,84.546
831,Al1H4Li1,1300.0,120.416
4383,Pb1S1,1700.0,62.551
3872,N4Si3,400.0,110.667
2693,Na2O3Si1,1100.0,173.628
1919,Fe1S1,900.0,58.286
760,Ba1I2,900.0,89.538
4321,O4S1Zn1,540.0,136.817
1034,Co1O4S1,400.0,119.286
113,Be1F2,300.0,52.028
2939,N1V1,2300.0,66.65100000000001
354,B1H3O3,800.0,147.27700000000002
364,Br3Ti1,1000.0,156.673
1907,Al1I3,400.0,108.533
297,Be2O4Si1,1700.0,183.803
1194,Cl1Na1,500.0,53.94
3383,Ca1Cl2,1100.0,88.70100000000001
199,Ba1H2O2,400.0,112.633
4066,O1Sr1,2300.0,65.229
1470,Cl2Cu1,400.0,75.061
57,Al2Be1O4,1400.0,183.75
4427,S1Sr1,1700.0,59.951
857,C1Be2,2000.0,91.722
3790,Mo2S3,1600.0,162.666
1400,Co1F2,900.0,83.59200000000001
3441,O5Ti3,500.0,194.138
4237,O2Zr1,2100.0,74.475
1377,Al1Li1O2,1400.0,108.089
994,B1N1,2500.0,48.953
4057,O1Sr1,3100.0,70.479
1390,Co1F2,1800.0,87.14
