,FORMULA,T (K),Cp (J/molK)
2551,Mo1O3,298.0,74.881
2763,K2O2,800.0,134.725
3781,Mo2S3,298.0,109.294
543,Al1Cl1O1,1100.0,80.04
1980,H4I1N1,1600.0,159.666
2333,F1K1,1000.0,61.17
4214,O2Ti1,1000.0,75.354
4222,O2Zr1,298.0,56.191
3386,Ca1Cl2,900.0,83.094
95,B2Mg1,700.0,64.015
2771,Mg1O3Ti1,2800.0,156.615
3385,Ca1Cl2,1000.0,85.772
3705,Li2O4S1,700.0,182.36
494,C0.98Nb1,1800.0,56.651
536,Al1Cl1O1,1800.0,82.62
2697,Na2O3Si1,700.0,153.946
2864,Al2Mg1O4,2200.0,224.254
1301,Fe1O1,400.0,51.84
3377,Ca1Cl2,1700.0,106.274
3649,I1K1,1100.0,71.546
33,Be1F3Li1,650.0,135.98
797,C1K1N1,895.0,66.509
4421,S1Sr1,2300.0,63.074
250,B1Ti1,3600.0,55.538
3435,O5Ti3,1100.0,218.405
3721,Li2O5Si2,1400.0,251.207
2343,Li2O3Si1,2200.0,182.59
3742,Mg1,1400.0,41.673
2885,N1Ti1,4300.0,83.161
2504,Mg2O4Ti1,2100.0,221.831
4502,V1,350.0,25.681
3266,O3W1,2800.0,127.194
4444,Sr1,1300.0,37.604
2321,Mn1,298.0,26.299
4161,O2.96W1,700.0,95.312
1563,Fe3O4,2800.0,200.832
3147,Nb1,1200.0,28.798
806,Be1H2O2,900.0,110.399
3004,Na2O1,1300.0,98.788
1774,Be3N2,600.0,106.516
1455,Cl1Li1O4,600.0,152.716
4445,Sr1,1200.0,36.428
3085,Nb1O1,2300.0,63.306
3612,F1Li1,900.0,57.697
937,Cu1F2,1800.0,94.558
412,Al1F6Na3,1000.0,318.582
2196,I2Zr1,700.0,97.445
1509,Be1Cl2,300.0,65.01899999999999
3295,O3W1,298.0,73.139
1068,Br1Na1,800.0,58.576
3578,Cu1,1600.0,38.593
4292,O4Pb2Si1,1300.0,193.719
1472,Cl2Cu1,298.0,71.881
2053,C1K2O3,1500.0,235.81
302,Be2O4Si1,1200.0,178.197
3155,Nb1,450.0,25.653
1999,Hf1,2054.0,39.648
2775,Mg1O3Ti1,2400.0,150.31
3881,N5P3,800.0,255.224
2480,N0.465V1,1700.0,50.823
3847,N4Si3,2900.0,188.056
2954,N1V1,800.0,51.212
1330,Co1,400.0,26.527
4151,O2.96W1,1700.0,109.537
2425,Al1Na1O2,1200.0,105.847
4506,W1,4600.0,116.629
940,Cu1F2,1500.0,94.224
3428,Na2O5Si2,500.0,203.246
2837,Li2O2,300.0,70.919
325,Al1,900.0,32.308
950,Cu1F2,600.0,81.92299999999999
273,B1Ti1,1300.0,52.459
422,Ca1H2O2,800.0,113.512
2550,Mo1O3,300.0,75.107
288,Be2O4Si1,2600.0,191.928
291,Be2O4Si1,2300.0,189.267
1507,Be1Cl2,500.0,77.53
496,C0.98Nb1,1600.0,55.605
1695,H1Li1,800.0,57.3
3098,Nb1O1,1100.0,52.418
2994,Ni1S1,400.0,50.501000000000005
3845,N2O4,300.0,122.675
139,Br2Ca1,900.0,85.85600000000001
1948,I2Pb1,600.0,83.713
2793,Mg1O3Ti1,700.0,122.353
4290,O4Pb2Si1,1500.0,196.648
2006,Hf1,1400.0,35.064
269,B1Ti1,1700.0,52.995
3891,Na2O2,2100.0,113.596
4571,Zr1,1100.0,32.306
2030,F2Hg2,500.0,108.407
3797,Mo2S3,900.0,138.775
4496,V1,800.0,28.66
262,B1Ti1,2400.0,53.932
4041,O1Pb1,1200.0,62.927
2905,N1Ti1,2400.0,64.559
4055,O1Sr1,3300.0,71.785
4528,W1,2500.0,34.736
2345,Li2O3Si1,2000.0,178.40599999999998
3100,Nb1O1,900.0,50.481
3345,O4V2,298.0,115.399
309,Be2O4Si1,500.0,136.942
4549,W1,450.0,25.144
1058,Br1Na1,1700.0,69.925
2495,N0.465V1,298.0,28.877
2283,H1K1O1,516.0,80.961
1297,Fe1O1,800.0,57.321000000000005
834,Al1H4Li1,1000.0,117.78
1653,Cl1Na1O4,300.0,111.713
3880,N5P3,900.0,261.5
1979,H4I1N1,1700.0,159.166
2758,K2O2,1300.0,164.983
3097,Nb1O1,1200.0,53.359
1590,Fe3O4,300.0,147.695
2785,Mg1O3Ti1,1500.0,137.821
1195,Cl1Na1,400.0,52.35
101,Be1F2,1200.0,87.529
3900,Na2O2,1200.0,113.596
2958,N1V1,400.0,43.29600000000001
4548,W1,500.0,25.359
1475,Fe0.947O1,2200.0,64.434
602,Br1H4N1,300.0,88.89299999999999
4495,V1,900.0,29.372
627,Al1F6Li3,978.0,303.131
367,Br3Ti1,700.0,137.21
1305,Co1,2300.0,37.656
2201,I2Zr1,298.0,94.14
1589,Fe3O4,400.0,171.12599999999998
4546,W1,700.0,26.229
2563,C1Na2O3,1000.0,179.201
2786,Mg1O3Ti1,1400.0,136.423
1298,Fe1O1,700.0,56.149
2032,F2Hg2,300.0,100.5
1148,Cl1Li1,1800.0,80.797
3043,O1Ti1,2400.0,84.22399999999999
599,Br1H4N1,411.0,92.844
3711,Li2O5Si2,2400.0,263.48
3924,Na2S1,1100.0,110.458
4295,O4Pb2Si1,1000.0,189.117
3214,Nb1O2,1700.0,83.052
45,Al1Cl4K1,300.0,156.649
1198,F2Hg1,1900.0,108.366
14,Be1I2,1400.0,89.34100000000001
2741,Cu2O5S1,1300.0,226.313
4507,W1,4500.0,111.137
3046,O1Ti1,2100.0,78.91
4296,O4Pb2Si1,900.0,186.774
4482,V1,2190.0,44.141000000000005
3409,Na2O5Si2,1900.0,292.88
4476,Ti1,298.0,25.238000000000003
1851,Cr1N1,1000.0,53.053
4142,O2.96W1,2600.0,120.834
1925,Fe1S1,500.0,72.358
978,Al2O3,800.0,120.135
440,B2Be3O6,1900.0,313.382
971,Al2O3,1500.0,132.29
2111,Ca1S1,1500.0,55.987
23,Be1I2,600.0,84.19
4355,P1,800.0,26.485
721,Ba1F2,1600.0,107.654
46,Al1Cl4K1,298.0,156.482
4455,Sr1,400.0,27.777
4422,S1Sr1,2200.0,62.551
366,Br3Ti1,800.0,147.27700000000002
243,Br2Ti1,500.0,81.002
503,C0.98Nb1,900.0,51.087
263,B1Ti1,2300.0,53.798
4143,O2.96W1,2500.0,119.579
1781,Fe1,1809.0,42.558
2122,Ca1S1,400.0,49.20399999999999
4023,Ni3S4,500.0,193.807
3350,O2.90W1,2500.0,118.114
3920,Na2S1,1300.0,187.652
4175,O2Pb1,300.0,61.318000000000005
3911,Na2O2,300.0,89.40799999999999
206,Al1Br3,1100.0,124.683
2597,Mo1S2,2000.0,86.35799999999999
580,Be1F4Li2,298.0,135.269
1540,F1Na1,1300.0,66.944
2041,I2Sr1,800.0,91.755
1010,B1N1,900.0,42.593
1439,Fe1I2,298.0,83.68
3707,Li2O4S1,500.0,154.47299999999998
4513,W1,3900.0,78.188
3643,I1K1,1700.0,75.234
3734,Li2O5Si2,400.0,174.891
4509,W1,4300.0,100.154
1508,Be1Cl2,400.0,72.76
3892,Na2O2,2000.0,113.596
3103,Nb1O1,600.0,47.20399999999999
2303,Mn1,1400.0,43.43
4391,Pb1S1,900.0,55.271
2979,Ni1S1,1600.0,80.124
2499,Mg2O4Ti1,2600.0,235.668
1376,Al1Li1O2,1500.0,109.466
1576,Fe3O4,1500.0,200.832
1189,Cl1Na1,1000.0,64.865
3138,Nb1,2100.0,34.275
1944,I2Pb1,900.0,102.428
2468,N0.465V1,2900.0,62.425
2052,C1K2O3,1600.0,245.182
358,B1H3O3,400.0,100.207
2940,N1V1,2200.0,65.77199999999999
3105,Nb1O1,400.0,44.032
2525,K1O2,1400.0,96.148
3113,F2Mg1,1536.0,83.635
2421,Al1Na1O2,1600.0,112.943
4301,O4Pb2Si1,400.0,152.005
2594,Mo1S2,2300.0,88.65899999999999
3888,Na2O2,2400.0,113.596
2416,Al1Na1O2,2100.0,121.366
3198,Ca1,500.0,28.487
2346,Li2O3Si1,1900.0,176.188
220,Br3Zr1,1500.0,106.399
598,Br1H4N1,500.0,87.195
666,Ba1,300.0,28.142
490,C0.98Nb1,2200.0,58.66
720,Ba1F2,1641.0,107.654
1778,Fe1,2100.0,45.48
4387,Pb1S1,1300.0,59.036
3360,O2.90W1,1500.0,105.688
2090,H2O4W1,700.0,170.707
4022,Ni3S4,600.0,208.171
3343,O4V2,340.0,127.621
2992,Ni1S1,600.0,55.312
3894,Na2O2,1800.0,113.596
1676,Cu1O4S1,1300.0,159.954
1788,Fe1,1300.0,38.493
1024,Co1O4S1,1200.0,162.465
3048,O1Ti1,1900.0,75.396
4298,O4Pb2Si1,700.0,180.12099999999998
353,B1H3O3,900.0,155.017
296,Be2O4Si1,1800.0,184.749
1163,Cl1Li1,400.0,50.969
2784,Mg1O3Ti1,1600.0,139.185
992,B1N1,2700.0,48.953
1493,Fe0.947O1,400.0,50.38
1864,Fe1H3O3,900.0,160.247
282,B1Ti1,400.0,40.334
3364,O2.90W1,1100.0,100.562
1652,Cl1Na1O4,400.0,135.98
3750,Mg1,700.0,29.279
1761,Be3N2,1900.0,129.411
488,C0.98Nb1,2400.0,59.664
3357,O2.90W1,1800.0,109.328
293,Be2O4Si1,2100.0,187.493
4263,O3V2,2340.0,181.021
2942,N1V1,2000.0,63.932
1750,Be3N2,2900.0,129.692
4068,O1Sr1,2100.0,63.898
2881,Al2Mg1O4,500.0,149.829
2725,Mg1S1,1500.0,54.073
3416,Na2O5Si2,1200.0,292.88
3859,N4Si3,1700.0,182.171
2012,Hf1,800.0,30.288
3339,O4V2,600.0,148.44799999999998
2903,N1Ti1,2600.0,66.48
3583,Cu1,1200.0,30.519
4283,O3V2,400.0,117.54
2347,Li2O3Si1,1800.0,173.887
2781,Mg1O3Ti1,1900.0,143.231
2354,Li2O3Si1,1200.0,158.57399999999998
2896,N1Ti1,3220.0,72.513
237,Br2Ti1,1100.0,87.881
1009,B1N1,1000.0,44.35
2902,N1Ti1,2700.0,67.446
2798,Mg1O3Ti1,298.0,91.881
2544,Mo1O3,900.0,104.441
446,B2Be3O6,1300.0,299.574
2417,Al1Na1O2,2000.0,119.858
3202,Ca1,300.0,25.946
2353,Li2O3Si1,1300.0,161.293
2010,Hf1,1000.0,31.943
2496,Mg2O4Ti1,2900.0,243.086
344,Br2Hg2,400.0,109.621
310,Be2O4Si1,400.0,120.75
3361,O2.90W1,1400.0,104.558
756,Ba1I2,1100.0,112.968
493,C0.98Nb1,1900.0,57.153
3887,Na2O2,298.0,89.266
1586,Fe3O4,700.0,232.71400000000003
2919,N1Ti1,1000.0,52.145
336,Br2Hg2,1200.0,123.47
4021,Ni3S4,700.0,222.539
500,C0.98Nb1,1200.0,53.304
3143,Nb1,1600.0,30.606
2470,N0.465V1,2700.0,60.584
3915,Na2S1,1700.0,133.888
4275,O3V2,1200.0,143.718
3272,O3W1,2200.0,117.152
2066,C1K2O3,300.0,114.699
3348,O2.90W1,2700.0,120.625
2271,I4Ti1,298.0,125.629
2808,I3Ti1,298.0,116.771
2986,Ni1S1,1000.0,63.053
4208,O2Ti1,1600.0,77.111
3165,O3Ti2,2400.0,155.185
1840,Cr1N1,2100.0,60.375
2901,N1Ti1,2800.0,68.413
133,Br2Ca1,1400.0,103.387
3187,O3Ti2,470.01,127.653
1370,Al1Li1O2,2000.0,116.022
852,C1Be2,2400.0,92.048
442,B2Be3O6,1700.0,308.905
830,Al1H4Li1,1400.0,121.043
2998,Na2O1,1800.0,103.617
747,Ba1I2,2000.0,112.968
4053,O1Sr1,3500.0,73.086
2100,Ca1S1,2600.0,60.291
3061,O1Ti1,700.0,53.095
1263,Br2Sr1,918.0,91.717
65,Al2Be1O4,600.0,154.97
3016,Na2O1,500.0,81.49600000000001
428,Ca1H2O2,298.0,87.48700000000001
2946,N1V1,1600.0,60.124
3358,O2.90W1,1700.0,108.073
1986,H4I1N1,1000.0,132.089
4511,W1,4100.0,89.171
1035,Co1O4S1,300.0,103.638
283,B1Ti1,300.0,29.916
2124,K2O4S1,1100.0,239.365
1180,Fe0.877S1,500.0,62.383
1647,Cl1Na1O4,700.0,168.511
2554,C1Na2O3,1800.0,218.656
3907,Na2O2,700.0,112.332
3008,Na2O1,1100.0,96.353
4284,O3V2,300.0,105.26
1821,Cu1F1,1600.0,64.434
1922,Fe1S1,600.0,62.03
1953,I4Zr1,900.0,138.365
648,Ba1,1400.0,39.066
60,Al2Be1O4,1100.0,177.03
2191,I2Zr1,1100.0,100.583
1039,Cu1O1,1700.0,60.958
4059,O1Sr1,2938.0,69.425
3145,Nb1,1400.0,29.589
2356,Li2O3Si1,1000.0,152.30200000000002
1779,Fe1,2000.0,44.476000000000006
1845,Cr1N1,1600.0,57.028
4342,O4Si1Zr1,1300.0,150.164
3374,Ca1Cl2,298.0,72.85600000000001
1322,Co1,900.0,34.518
321,Al1,298.0,24.209
4412,S1,350.0,23.87
2019,Hf1,300.0,25.708
3321,K1,336.35,34.567
3108,F2Mg1,298.0,61.547
3389,Ca1Cl2,600.0,78.199
4084,O1Sr1,500.0,50.534
2246,H1K1,600.0,51.923
3226,Nb1O2,900.0,83.479
2497,Mg2O4Ti1,2800.0,240.685
1179,Fe0.877S1,598.0,58.175
4397,Pb1S1,300.0,49.455
2474,N0.465V1,2300.0,56.902
4305,O4S1Zn1,1800.0,145.185
3375,Ca1Cl2,1900.0,112.131
2680,Na2O3Si1,2300.0,212.016
109,Be1F2,500.0,76.048
1056,Br1Na1,1900.0,72.645
3127,Nb1,3100.0,53.879
105,Be1F2,825.0,74.977
2738,Mg1S1,298.0,45.56399999999999
1203,F2Hg1,1400.0,97.906
1473,Fe0.947O1,2400.0,64.74
3172,O3Ti2,1800.0,152.465
4450,Sr1,800.0,31.935
3338,O4V2,700.0,152.175
1675,Cu1O4S1,1400.0,161.628
3276,O3W1,1800.0,110.458
839,Al1H4Li1,500.0,101.253
1866,Fe1H3O3,700.0,148.114
2800,Na2S2,800.0,126.591
2490,N0.465V1,700.0,38.359
1960,I4Zr1,298.0,127.8
1333,Co1,298.0,24.802
855,C1Be2,2200.0,91.885
3192,Ca1,1000.0,39.026
2348,Li2O3Si1,1700.0,171.502
4314,O4S1Zn1,1013.0,145.185
2819,I3Ti1,400.0,117.512
4279,O3V2,800.0,132.639
2733,Mg1S1,700.0,50.543
369,Br3Ti1,500.0,114.709
69,Al2Be1O4,298.0,105.38
2811,I3Ti1,1200.0,123.336
1844,Cr1N1,1700.0,57.697
2147,I2Mg1,300.0,74.977
4446,Sr1,1100.0,35.273
2751,Cu2O5S1,300.0,141.41899999999998
3104,Nb1O1,500.0,45.827
3095,Nb1O1,1400.0,55.208
2817,I3Ti1,600.0,118.968
3657,I1K1,400.0,53.932
825,Al1H4Li1,1900.0,123.763
2197,I2Zr1,600.0,96.609
2318,Mn1,400.0,28.527
3110,F2Mg1,1800.0,84.77600000000001
4535,W1,1800.0,31.284
4430,S1Sr1,1400.0,58.409
2510,Mg2O4Ti1,1600.0,206.041
3752,Mg1,500.0,27.171
2022,F2Hg2,1300.0,124.872
664,Ba1,400.0,33.229
1771,Be3N2,900.0,121.043
3588,Cu1,700.0,26.996
38,Be1F3Li1,298.0,91.816
1403,Co1F2,600.0,80.789
1166,Fe0.877S1,1700.0,86.10700000000001
1886,I1Li1,1000.0,71.965
628,Al1F6Li3,900.0,294.972
450,B2Be3O6,900.0,277.567
3391,Ca1Cl2,400.0,75.64699999999999
2858,Al2Mg1O4,2700.0,242.291
497,C0.98Nb1,1500.0,55.06100000000001
1424,Fe1I2,1400.0,142.256
1556,H3O4P1,600.0,197.485
3869,N4Si3,700.0,138.072
4429,S1Sr1,1500.0,58.937
140,Br2Ca1,800.0,83.471
2013,Hf1,700.0,29.445
2696,Na2O3Si1,800.0,159.749
4580,Zr1,350.0,25.606
3753,Mg1,450.0,26.668000000000003
2508,Mg2O4Ti1,1800.0,212.61
3930,Na2S1,500.0,85.772
17,Be1I2,1100.0,88.337
1746,Hg1O1,400.0,48.325
1389,Co1F2,1900.0,87.441
1842,Cr1N1,1900.0,59.078
663,Ba1,450.0,38.031
2314,Mn1,700.0,33.426
1437,Fe1I2,400.0,83.931
1017,Co1O4S1,1900.0,173.259
4048,O1Pb1,600.0,55.396
4438,S1Sr1,600.0,53.179
623,Al1F6Li3,1100.0,315.892
3850,N4Si3,2600.0,187.303
824,Al1H4Li1,298.0,86.4
1525,F1Na1,2800.0,71.128
2238,H1K1,1400.0,63.301
1292,Fe1O1,1300.0,61.975
1312,Co1,1700.0,37.782
1303,Fe1O1,298.0,49.915
990,B1N1,2900.0,48.953
363,Br3Ti1,1100.0,161.084
3099,Nb1O1,1000.0,51.467
2833,Li2O2,700.0,103.428
2988,Ni1S1,800.0,57.363
118,B1H4Na1,1600.0,133.428
2432,Al1Na1O2,700.0,98.291
210,Al1Br3,700.0,124.348
4357,P1,600.0,26.485
2990,Ni1S1,652.0,56.372
2247,H1K1,500.0,48.534
4488,V1,1600.0,35.857
2999,Na2O1,1700.0,102.734
247,B1Ti1,3900.0,55.94
4443,Sr1,1400.0,38.801
1021,Co1O4S1,1500.0,167.56900000000002
3784,Mo2S3,2100.0,179.30900000000003
84,B2Mg1,1800.0,90.249
1793,Fe1,1042.0,83.681
4216,O2Ti1,800.0,73.86
135,Br2Ca1,1200.0,95.563
4056,O1Sr1,3200.0,71.132
4565,Zr1,1600.0,37.762
4317,O4S1Zn1,800.0,139.704
1998,Hf1,2100.0,39.97
2827,Li2O2,1300.0,134.98
751,Ba1I2,1600.0,112.968
4413,S1,300.0,22.744
541,Al1Cl1O1,1300.0,81.243
4459,Ti1,1600.0,55.22
3910,Na2O2,400.0,97.721
4133,O2.72W1,700.0,89.81
812,Be1H2O2,300.0,66.053
1419,Br2Fe1,650.0,88.069
579,Be1F4Li2,300.0,135.52
1410,Br2Fe1,1300.0,102.533
2501,Mg2O4Ti1,2400.0,230.358
495,C0.98Nb1,1700.0,56.13399999999999
2527,K1O2,1200.0,95.73
2936,N1V1,2600.0,69.28699999999999
699,Be1O4S1,1900.0,200.832
427,Ca1H2O2,300.0,87.78
437,B2Be3O6,2200.0,319.658
988,B1N1,3100.0,48.953
3713,Li2O5Si2,2200.0,263.17400000000004
725,Ba1F2,1400.0,114.014
3378,Ca1Cl2,1600.0,103.345
1790,Fe1,1184.0,41.422
202,Al1Br3,298.0,100.578
1706,F2H1K1,1500.0,100.249
487,C0.98Nb1,2500.0,60.166
2422,Al1Na1O2,1500.0,111.169
2899,N1Ti1,3000.0,70.362
1800,Fe1,450.0,28.518
1089,Cr2O3,1500.0,132.482
3319,K1,298.0,29.497
502,C0.98Nb1,1000.0,51.923
624,Al1F6Li3,1058.0,311.499
3017,Na2O1,400.0,75.77600000000001
707,Be1O4S1,1100.0,183.088
3647,I1K1,1300.0,74.09
322,Al1,1100.0,36.722
4392,Pb1S1,800.0,54.308
3576,Cu1,1800.0,42.928
3257,O4Pb3,900.0,203.342
4537,W1,1600.0,30.334
1794,Fe1,1000.0,54.434
4254,O2Zr1,600.0,70.237
1649,Cl1Na1O4,581.0,158.57399999999998
279,B1Ti1,700.0,50.124
1641,Cl1Na1O4,1300.0,201.083
99,B2Mg1,300.0,47.865
1830,Cu1F1,700.0,60.961000000000006
4494,V1,1000.0,30.083
1452,Cl1Li1O4,900.0,172.067
2690,Na2O3Si1,1362.0,183.407
2200,I2Zr1,300.0,94.349
3159,Nb1,298.0,24.694000000000003
3286,O3W1,1050.0,98.144
1170,Fe0.877S1,1300.0,62.676
805,Be1H2O2,298.0,65.70100000000001
1257,Br2Sr1,1400.0,115.06
1645,Cl1Na1O4,900.0,181.586
415,Al1F6Na3,800.0,290.78
4270,O3V2,1700.0,159.481
3129,Nb1,2900.0,47.342
1161,Cl1Li1,600.0,55.593
1570,Fe3O4,2100.0,200.832
4543,W1,1000.0,27.564
2176,Mg1O3Si1,298.0,81.927
3273,O3W1,2100.0,115.478
4313,O4S1Zn1,1013.0,142.13
4439,S1Sr1,500.0,51.882
62,Al2Be1O4,900.0,170.87
4113,O2.72W1,2700.0,117.068
2463,N0.465V1,3400.0,66.777
795,C1K1N1,1000.0,66.551
1126,Cr2N1,2200.0,122.591
3903,Na2O2,900.0,113.596
1329,Co1,450.0,27.39
576,Be1F4Li2,600.0,180.247
2120,Ca1S1,600.0,51.547
421,Ca1H2O2,900.0,116.022
4472,Ti1,450.0,27.418000000000003
2687,Na2O3Si1,1600.0,191.347
1990,H4I1N1,600.0,103.261
714,Be1O4S1,400.0,103.88
532,Al1Cl1O1,2200.0,83.01100000000001
56,Al2Be1O4,1500.0,185.91
3782,Mo2S3,2300.0,185.939
819,Cs1,400.0,36.066
43,Al1Cl4K1,500.0,174.305
2750,Cu2O5S1,400.0,162.339
1044,Cu1O1,1200.0,56.978
3864,N4Si3,1200.0,168.49
3261,O4Pb3,500.0,184.096
4274,O3V2,1300.0,146.741
817,Cs1,500.0,37.196
335,Br2Hg2,1300.0,124.209
2813,I3Ti1,1000.0,121.88
2923,N1Ti1,600.0,48.723
2281,H1K1O1,679.0,78.65899999999999
1266,Br2Sr1,800.0,87.571
572,Be1F4Li2,900.0,225.004
655,Ba1,800.0,39.066
744,Ba1I2,2300.0,112.968
1064,Br1Na1,1100.0,62.342
142,Br2Ca1,600.0,80.5
2135,I2Mg1,1400.0,93.763
2409,Al1Na1O2,2800.0,128.666
569,Be1F4Li2,1200.0,269.72900000000004
952,Cu1F2,400.0,72.383
4140,O2.96W1,2800.0,123.344
4039,O1Pb1,298.0,45.773
3210,Nb1O2,2100.0,83.052
1316,Co1,1394.0,54.978
3717,Li2O5Si2,1800.0,261.082
736,Ba1F2,500.0,78.45
2679,Na2O3Si1,2400.0,214.781
1892,I1Li1,400.0,53.43
3584,Cu1,1100.0,29.479
110,Be1F2,500.0,76.048
1993,H4I1N1,300.0,81.881
3184,O3Ti2,600.0,136.44
2360,Li2O3Si1,600.0,134.306
2065,C1K2O3,400.0,128.135
4111,O2.72W1,2900.0,119.579
100,B2Mg1,298.0,47.823
3551,Br2Mo1,1000.0,87.027
3415,Na2O5Si2,1300.0,292.88
1320,Co1,1100.0,39.832
504,C0.98Nb1,800.0,50.124
429,B2Be3O6,298.0,139.746
4462,Ti1,1300.0,40.771
4025,Ni3S4,300.0,165.076
3884,N5P3,500.0,217.568
4469,Ti1,700.0,29.135
2487,N0.465V1,1000.0,42.376000000000005
526,Al1Cl1O1,2800.0,83.052
1128,Cr2N1,2000.0,117.487
218,Br3Zr1,1700.0,106.483
2280,H1K1O1,700.0,78.65899999999999
1894,I1Li1,298.0,50.082
1602,H1Na1O1,572.0,85.887
1928,Fe1S1,400.0,89.20299999999999
4337,O4Si1Zr1,1800.0,150.624
51,Al2Be1O4,2000.0,209.49
3362,O2.90W1,1300.0,103.303
2981,Ni1S1,1400.0,74.433
1054,Cu1O1,298.0,42.246
2193,I2Zr1,900.0,99.621
2164,Mg1O3Si1,1200.0,120.34
457,Al1Cl4Na1,298.0,154.975
1325,Co1,700.1,30.583
3174,O3Ti2,1600.0,151.377
3164,O3Ti2,2500.0,155.60299999999998
2722,Mg1S1,1800.0,55.312
4040,O1Pb1,1300.0,64.183
3846,N4Si3,298.0,99.533
4419,S1Sr1,2500.0,64.12
1829,Cu1F1,800.0,62.007
3355,O2.90W1,2000.0,111.838
1432,Fe1I2,700.0,95.395
842,C1Be2,3400.0,92.939
1435,Fe1I2,600.0,84.425
2606,Mo1S2,1100.0,79.119
31,Be1F3Li1,800.0,154.808
3604,F1Li1,1600.0,69.274
4428,S1Sr1,1600.0,59.455
1193,Cl1Na1,600.0,55.476000000000006
1053,Cu1O1,300.0,42.364
2768,K2O2,300.0,100.374
710,Be1O4S1,800.0,149.787
2721,Mg1S1,1900.0,55.647
1679,Cu1O4S1,1000.0,153.762
1397,Co1F2,1200.0,85.07700000000001
239,Br2Ti1,900.0,85.588
4235,O2Zr1,2300.0,74.475
2357,Li2O3Si1,900.0,148.565
4416,S1Sr1,2800.0,65.689
1673,Cu1O4S1,1600.0,164.72400000000002
1911,Fe1S1,1600.0,83.65299999999999
759,Ba1I2,984.0,112.968
4272,O3V2,1500.0,153.005
1566,Fe3O4,2500.0,200.832
2171,Mg1O3Si1,700.0,111.621
2195,I2Zr1,700.0,97.445
1997,Hf1,2200.0,40.671
1760,Be3N2,2000.0,129.452
673,Br4Ti1,800.0,133.779
1324,Co1,700.1,31.047
1296,Fe1O1,900.0,58.283
223,Br3Zr1,1200.0,106.232
4248,O2Zr1,1200.0,77.684
1865,Fe1H3O3,800.0,154.808
1057,Br1Na1,1800.0,71.267
85,B2Mg1,1700.0,88.162
4281,O3V2,600.0,127.326
2017,Hf1,400.0,26.751
4312,O4S1Zn1,1100.0,145.185
50,Al2Be1O4,2100.0,220.19
4287,O4Pb2Si1,1800.0,200.121
3220,Nb1O2,1200.0,92.885
3153,Nb1,600.0,26.347
3211,Nb1O2,2000.0,83.052
2824,Li2O2,1600.0,149.57
1050,Cu1O1,600.0,50.935
1214,F2Hg1,400.0,76.986
724,Ba1F2,1480.0,107.654
1480,Fe0.947O1,1700.0,62.787
3437,O5Ti3,900.0,213.384
1420,Br2Fe1,600.0,86.95200000000001
2003,Hf1,1700.0,37.167
1321,Co1,1000.0,36.987
4503,V1,300.0,24.928
1271,Br2Sr1,300.0,76.902
3336,O4V2,900.0,158.157
1711,F2H1K1,1000.0,100.249
2340,F1K1,300.0,49.022
4531,W1,2200.0,33.238
3139,Nb1,2000.0,33.43
3794,Mo2S3,1200.0,149.186
485,C0.98Nb1,2700.0,61.17
4456,Sr1,350.0,27.298
209,Al1Br3,800.0,124.432
963,Al2O3,2300.0,138.741
1196,Cl1Na1,300.0,50.543
1567,Fe3O4,2400.0,200.832
4540,W1,1300.0,28.93
3638,H2O2Sr1,400.0,88.45
4167,O2Pb1,1100.0,79.669
1125,Cr2N1,2300.0,124.934
3188,O3Ti2,400.0,117.529
359,B1H3O3,300.0,81.755
1638,H1Na1,298.0,36.392
2471,N0.465V1,2600.0,59.622
3158,Nb1,300.0,24.711
1872,I1Li1,2400.0,76.191
1827,Cu1F1,1000.0,63.346
1646,Cl1Na1O4,800.0,175.72799999999998
3856,N4Si3,2000.0,185.435
1569,Fe3O4,2200.0,200.832
4437,S1Sr1,700.0,54.099
2057,C1K2O3,1174.0,205.259
3205,Nb1O2,2500.0,83.052
2830,Li2O2,1000.0,119.704
3347,O2.90W1,2800.0,121.88
3387,Ca1Cl2,800.0,80.919
3730,Li2O5Si2,800.0,222.58900000000003
222,Br3Zr1,1300.0,106.315
3600,F1Li1,2000.0,73.817
4483,V1,2100.0,42.468
1287,Fe1O1,1700.0,64.631
1582,Fe3O4,900.0,273.05
25,Be1I2,400.0,76.868
985,B1N1,3400.0,48.953
3353,O2.90W1,2200.0,114.349
3922,Na2S1,1276.0,211.939
2332,F1K1,1100.0,63.848
3702,Li2O4S1,900.0,209.702
1575,Fe3O4,1600.0,200.832
24,Be1I2,500.0,81.638
601,Br1H4N1,400.0,92.717
136,Br2Ca1,1100.0,91.922
3252,O4Pb3,1400.0,224.262
3544,Br2Mo1,1700.0,94.349
3866,N4Si3,1000.0,158.155
3896,Na2O2,1600.0,113.596
1127,Cr2N1,2100.0,119.955
35,Be1F3Li1,500.0,117.152
1628,H1Na1,1200.0,61.641000000000005
3292,O3W1,500.0,88.641
2560,C1Na2O3,1200.0,200.748
2744,Cu2O5S1,1000.0,212.547
3253,O4Pb3,1300.0,220.078
2815,I3Ti1,800.0,120.424
956,Al2O3,2900.0,143.511
743,Ba1I2,2400.0,112.968
829,Al1H4Li1,1500.0,121.615
2483,N0.465V1,1400.0,47.262
3053,O1Ti1,1400.0,66.442
2937,N1V1,2500.0,68.408
2505,Mg2O4Ti1,2013.0,219.233
